Produto;Quantidade_Total;Frequencia_Vendas;Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
Atroveran Dip 1g 10 Comprimidos;369.0;13;São João;7896523216812.0;Diad 1,5mg 1 Comprimido;Disponível;19,90;19,90;-0.0%;19,90;-0.0%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10024187.0;https://www.saojoaofarmacias.com.br/diad-1-5mg-1-comprimido-10024187/p
Osteoban 150Mg 1 Comprimido Ache;369.0;16;São João;7896658019036.0;Osteoban 150Mg 1 Comprimido Ache;Disponível;60,18;50,79;-15.6%;50,79;-15.6%;Medicamentos > Saúde Óssea > Osteoporose;100000593.0;https://www.saojoaofarmacias.com.br/osteoban-150mg-1-comprimido-ache-100000593/p
Flogoral Cereja 12 Pastilhas Aché;368.0;13;São João;7896523216461.0;Pastilha De Garganta Ciflogex 3mg Cereja 12 Pastilhas Cimed;Disponível;16,90;15,59;-7.8%;15,59;-7.8%;Medicamentos > Analgésicos > Dor De Garganta;13425.0;https://www.saojoaofarmacias.com.br/pastilha-de-garganta-ciflogex-3mg-cereja-12-pastilhas-cimed-13425/p
Vick Babyrub 12g;368.0;13;;;;;;;;;;;;
Esalerg 100ml Aché;368.0;13;São João;7896658002892.0;Flogo-Rosa 100ml Aché;Disponível;41,05;37,19;-9.4%;37,19;-9.4%;Medicamentos > Saúde Da Mulher > Ginecológicos;1073.0;https://www.saojoaofarmacias.com.br/flogo-rosa-100ml-ache-1073/p
Perosteo Eurofarma 30 Comprimidos;368.0;13;São João;7896006201731.0;Primosiston 30 Comprimidos Genom;Disponível;56,31;49,39;-12.3%;49,39;-12.3%;Medicamentos > Saúde Da Mulher > Menopausa;2368.0;https://www.saojoaofarmacias.com.br/primosiston-30-comprimidos-genom-2368/p
Piroxicam 20mg Genérico EMS 15 Cápsulas Gelatinosas;368.0;14;São João;7896004710679.0;Meloxicam Genérico EMS 15mg 10 Cápsulas;Disponível;41,71;18,59;-55.4%;18,59;-55.4%;Medicamentos > Anti-inflamatórios;1006913.0;https://www.saojoaofarmacias.com.br/meloxicam-generico-ems-15mg-10-capsulas-1006913/p
Cefalium One 750mg 20 Comprimidos Revestidos;368.0;14;São João;7891721016165.0;Clinfár 40mg 30 Comprimidos Revestidos Merck;Disponível;115,99;115,99;-0.0%;115,99;-0.0%;Medicamentos > Cardiológicos > Colesterol;10094800.0;https://www.saojoaofarmacias.com.br/clinfar-40mg-30-comprimidos-revestidos-merck-10094800/p
Vacina Hexavalente Hexaxim 0,5 ml Injetável 1 Seringa Preenchida Sanofi + Aplicação;368.0;15;São João;7891058004460.0;Clexane Safety Lock 40mg Injetável 6 Seringas Sanofi;Disponível;529,96;309,72;-41.6%;309,72;-41.6%;Medicamentos > Sistema Circulatório > Trombose;10004983.0;https://www.saojoaofarmacias.com.br/clexane-safety-lock-40mg-injetavel-6-seringas-sanofi-10004983/p
Deocil SL 10mg 10 Comprimidos Sublinguais;368.0;13;São João;7892953208618.0;Symdulor SL 10mg 10 Comprimidos Sublinguais Adium;Disponível;36,14;14,46;-60.0%;14,46;-60.0%;Medicamentos > Anti-inflamatórios;10032428.0;https://www.saojoaofarmacias.com.br/symdulor-sl-10mg-10-comprimidos-sublinguais-adium-10032428/p
Stilnox CR 6,25mg 28 Comprimidos Sanofi (B1);368.0;13;São João;7897595901316.0;Puran T4 50mcg 30 Comprimidos Sanofi;Disponível;20,16;17,99;-10.8%;17,99;-10.8%;Medicamentos > Reposição Hormonal > Tireoide;79510.0;https://www.saojoaofarmacias.com.br/puran-t4-50mcg-30-comprimidos-sanofi-79510/p
Oleptal 300mg 60 Comprimidos Torrent (C1);368.0;15;São João;7896658015113.0;Fisioton 400mg 60 Comprimidos Aché;Disponível;217,88;198,49;-8.9%;198,49;-8.9%;Medicamentos > Fitoterápicos;10101261.0;https://www.saojoaofarmacias.com.br/fisioton-400mg-60-comprimidos-ache-10101261/p
Sinvastatina 40mg 30 Comprimidos Revestidos Genérico Novartis;368.0;14;São João;7897595632623.0;Sinvastatina Genérico Novartis 40mg 30 Comprimidos Revestidos;Disponível;35,85;15,99;-55.4%;15,99;-55.4%;Medicamentos > Cardiológicos > Colesterol;100015652.0;https://www.saojoaofarmacias.com.br/sinvastatina-generico-novartis-40mg-30-comprimidos-revestidos-100015652/p
Anlodipino 10mg 30 Comprimidos Genérico Novartis;368.0;13;São João;7896004703312.0;Anlodipino 10mg 30 comprimidos Genérico Ems;Disponível;66,41;13,90;-79.1%;13,90;-79.1%;Medicamentos > Cardiológicos > Pressão Alta;994183.0;https://www.saojoaofarmacias.com.br/anlodipino-10mg-30-comprimidos-generico-ems-994183/p
Glimepirida 2mg 30 Comprimidos Genérico Sandoz;368.0;15;São João;7896523210940.0;Glimepirida 4mg Genérico Cimed 30 Comprimidos;Disponível;53,57;19,90;-62.9%;19,90;-62.9%;Medicamentos > Diabetes;10103541.0;https://www.saojoaofarmacias.com.br/glimepirida-4mg-generico-cimed-30-comprimidos-10103541/p
Mirena 52mg 1 Endoceptivo com Inseridor Bayer;368.0;12;São João;7896116814104.0;Mirena 52mg 1 Endo + Insetor Bayer;Disponível;1650,22;1219,50;-26.1%;1219,50;-26.1%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10093877.0;https://www.saojoaofarmacias.com.br/mirena-52mg-1-endo---insetor-bayer-10093877/p
Famox 20Mg 10 Comprimidos Ache;368.0;14;São João;7896658000379.0;Famox 20Mg 10 Comprimidos Ache;Disponível;34,57;30,49;-11.8%;30,49;-11.8%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;1005.0;https://www.saojoaofarmacias.com.br/famox-20mg-10-comprimidos-ache-1005/p
Piemonte 4mg 60 Comprimidos Eurofarma;367.0;13;São João;7896658030284.0;Montelair 4mg 60 Comprimidos Mast Aché;Disponível;124,93;103,59;-17.1%;103,59;-17.1%;Medicamentos > Alergias E Infecções > Asma E Bronquite;100020362.0;https://www.saojoaofarmacias.com.br/montelair-4mg-60-comprimidos-mast-ache-100020362/p
Drospirenona + Etinilestradiol 3mg + 0,02mg 24 Comprimidos Revestidos Genérico EMS;367.0;14;São João;7896004744957.0;Drospirenona + Etinilestradiol Genérico EMS 3mg + 0,02mg 24 Comprimidos Revestidos;Disponível;75,03;29,90;-60.1%;29,90;-60.1%;Medicamentos > Saúde Da Mulher > Anticoncepcional;100012471.0;https://www.saojoaofarmacias.com.br/drospirenona---etinilestradiol-generico-ems-3mg---0-02mg-24-comprimidos-revestidos-100012471/p
Cataflampro Emulgel Gel Dermatológico 150g;367.0;13;São João;7891721022845.0;Flexive CDM Creme Dermatológico 50g;Disponível;93,61;79,59;-15.0%;79,59;-15.0%;Medicamentos > Anti-inflamatórios;10103372.0;https://www.saojoaofarmacias.com.br/flexive-cdm-creme-dermatologico-50g-10103372/p
Dipropionato de Beclometasona Spray Nasal 250mcg 200 Doses Genérico Glenmark;367.0;14;São João;7897473207011.0;Mometasona 50mcg 120 Doses Genérico Glenmark;Disponível;57,52;33,90;-41.1%;33,90;-41.1%;Medicamentos > Alergias E Infecções > Rinite E Sinusite;10023226.0;https://www.saojoaofarmacias.com.br/mometasona-50mcg-120-doses-generico-glenmark-10023226/p
Indapen SR 1,5mg 60 Comprimidos Revestidos Libbs Prolongado Torrent;367.0;13;São João;7896094209015.0;Zetron XL 150mg 60 Comprimidos Revestidos Liberação Prolongada Libbs (C1);Disponível;197,76;158,49;-19.9%;158,49;-19.9%;Medicamentos > Sistema Nervoso Central > Parar De Fumar;100021206.0;https://www.saojoaofarmacias.com.br/zetron-xl-150mg-60-comprimidos-revestidos-liberacao-prolongada-libbs--c1--100021206/p
Questran Light 50 Envelopes 4G Bristol;367.0;14;São João;7898948648087.0;Androgel Gel Transdérmico 50mg 10mg/g 30 Envelopes de 5g;Disponível;339,79;271,83;-20.0%;271,83;-20.0%;Medicamentos > Reposição Hormonal > Distúrbios Hormonais;100011551.0;https://www.saojoaofarmacias.com.br/androgel-gel-transdermico-50mg-10mg-g-30-envelopes-de-5g-100011551/p
Cod Par 500mg+30mg 24 Comprimidos Supera (A2);367.0;14;São João;7891317010065.0;Diupress 25+5mg 30 Comprimidos Supera;Disponível;45,72;38,59;-15.6%;38,59;-15.6%;Medicamentos > Saúde Da Mulher;10023079.0;https://www.saojoaofarmacias.com.br/diupress-25-5mg-30-comprimidos-supera-10023079/p
Runner EZE 20+10mg 60 Comprimidos Biosintética;367.0;14;São João;7896004784083.0;Bilastina 20mg 30 Comprimidos Genérico EMS;Disponível;90,64;49,90;-44.9%;49,90;-44.9%;Medicamentos > Alergias E Infecções > Antialérgicos;10030869.0;https://www.saojoaofarmacias.com.br/bilastina-20mg-30-comprimidos-generico-ems-10030869/p
Leite de Magnésia Hortelã Suspensão Oral 350ml;367.0;13;São João;78905047.0;Leite de Magnésia Phillips Hortelã 350ml Aspen;Disponível;33,99;33,99;-0.0%;33,99;-0.0%;Medicamentos > Estômago E Gastrointestinais > Laxante;1455.0;https://www.saojoaofarmacias.com.br/leite-de-magnesia-phillips-hortela-350ml-aspen-1455/p
Lisvenx 70mg 30 Cápsulas Torrent (A3);367.0;14;São João;7896658029028.0;Leucogen 80mg 30 Cápsulas;Disponível;165,33;135,39;-18.1%;135,39;-18.1%;Medicamentos > Medicamentos Especiais;100020114.0;https://www.saojoaofarmacias.com.br/leucogen-80mg-30-capsulas-100020114/p
Ciprofloxacino 500mg 14 Comprimidos Genérico Novartis;366.0;13;São João;7897595636195.0;Ciprofloxacino 500mg 14 Comprimidos Genérico Novartis;Disponível;36,59;22,90;-37.4%;22,90;-37.4%;Medicamentos > Alergias E Infecções > Infecção;10001741.0;https://www.saojoaofarmacias.com.br/ciprofloxacino-500mg-14-comprimidos-generico-novartis-10001741/p
Domperidona 10mg 60 Comprimidos Genérico Germed;366.0;14;São João;7896523201054.0;Domperidona 10mg 30 Comprimidos Genérico Cimed;Disponível;21,53;10,89;-49.4%;10,89;-49.4%;Medicamentos > Estômago E Gastrointestinais > Vômito E Náusea;10035978.0;https://www.saojoaofarmacias.com.br/domperidona-10mg-30-comprimidos-generico-cimed-10035978/p
Fostair Dpi Chiesi 200mcg + 6mcg 120 Doses;366.0;13;São João;7891317444952.0;Tâmisa 20 75mcg/20mcg 63 Comprimidos Revestidos;Disponível;93,45;77,49;-17.1%;77,49;-17.1%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10091806.0;https://www.saojoaofarmacias.com.br/tamisa-20-75mcg-20mcg-63-comprimidos-revestidos-10091806/p
Parkidopa 250mg + 25mg 30 Cápsulas;366.0;13;São João;7891317125455.0;Trimeb 200mg 30 Cápsulas;Disponível;88,54;74,19;-16.2%;74,19;-16.2%;Medicamentos > Estômago E Gastrointestinais > Intestino;100006027.0;https://www.saojoaofarmacias.com.br/trimeb-200mg-30-capsulas-100006027/p
Dunia 35 2+0,035mg 21 Comprimidos Revestidos Aché;366.0;12;São João;7896094203044.0;Elani 28 3mg+0,03mg 84 Comprimidos Revestidos Libbs;Disponível;229,49;160,64;-30.0%;160,64;-30.0%;Medicamentos > Saúde Da Mulher > Anticoncepcional;100001747.0;https://www.saojoaofarmacias.com.br/elani-28-3mg-0-03mg-84-comprimidos-revestidos-libbs-100001747/p
Vortioxetina 5mg 30 Comprimidos Revestidos Genérico Althaia (C1);366.0;15;São João;7898569760496.0;Rosuvastatina Genérico Althaia 20mg 30 Comprimidos Revestidos;Disponível;88,12;23,90;-72.9%;23,90;-72.9%;Medicamentos > Cardiológicos > Colesterol;10011933.0;https://www.saojoaofarmacias.com.br/rosuvastatina-generico-althaia-20mg-30-comprimidos-revestidos-10011933/p
Hormus 250mg/ml Solução Injetável 1 Ampola 4ml Eurofarma (C5);366.0;14;São João;7908020507017.0;Testosterona 200mg/2ml Solução Injetável 3 Ampolas Genérico Cifarma (C5);Disponível;179,89;124,29;-30.9%;124,29;-30.9%;Medicamentos > Reposição Hormonal;10044056.0;https://www.saojoaofarmacias.com.br/testosterona-200mg-2ml-solucao-injetavel-3-ampolas-generico-cifarma--c5--10044056/p
Tavok 500Mg 7 Comprimidos Revestidos Momenta;366.0;15;São João;7896637022767.0;Donaren 50mg 60 Comprimidos Revestidos;Disponível;61,13;52,09;-14.8%;52,09;-14.8%;Medicamentos > Sistema Nervoso Central > Depressão;5400.0;https://www.saojoaofarmacias.com.br/donaren-50mg-60-comprimidos-revestidos-5400/p
Puran T4 88mcg 30 Comprimidos Sanofi;366.0;12;São João;7897595901316.0;Puran T4 50mcg 30 Comprimidos Sanofi;Disponível;20,16;17,99;-10.8%;17,99;-10.8%;Medicamentos > Reposição Hormonal > Tireoide;79510.0;https://www.saojoaofarmacias.com.br/puran-t4-50mcg-30-comprimidos-sanofi-79510/p
Miranova  0,10mg + 0,02mg 21 Drágeas;366.0;14;São João;7891106914369.0;Microvlar 0,15mg/0,03mg 63 Drágueas;Disponível;29,86;25,89;-13.3%;25,89;-13.3%;Medicamentos > Saúde Da Mulher > Anticoncepcional;10022677.0;https://www.saojoaofarmacias.com.br/microvlar-0-15mg-0-03mg-63-dragueas-10022677/p
Okotico 100mg 30 Comprimidos Supera (C1);366.0;13;São João;7896714274645.0;Peridal Mantecorp 10mg 30 Comprimidos;Disponível;27,78;25,29;-9.0%;25,29;-9.0%;Medicamentos > Estômago E Gastrointestinais > Azia E Refluxo;1002526.0;https://www.saojoaofarmacias.com.br/peridal-mantecorp-10mg-30-comprimidos-1002526/p
Broncho-Vaxom Infantil Chiesi 3,5mg 10 Cápsulas;366.0;13;São João;7896672203893.0;Broncho-Vaxom Lisado Bacteriano 7mg 30 Cápsulas Chiesi;Disponível;314,08;251,26;-20.0%;251,26;-20.0%;Medicamentos > Alergias E Infecções > Infecção;10103224.0;https://www.saojoaofarmacias.com.br/broncho-vaxom-lisado-bacteriano-7mg-30-capsulas-chiesi-10103224/p
Albocresil Gel 50g Com Aplicador Hypera;366.0;14;São João;7896094922013.0;Albocresil 6 Óvulos Hypera;Disponível;26,78;26,78;-0.0%;26,78;-0.0%;Medicamentos > Saúde Da Mulher > Ginecológicos;7012.0;https://www.saojoaofarmacias.com.br/albocresil-6-ovulos-hypera-7012/p
Cefadroxila 500mg 10 Cápsulas Genom;366.0;13;São João;7896004703275.0;Cefadroxila 500mg 8 Cápsulas Genérico EMS;Disponível;69,83;58,39;-16.4%;58,39;-16.4%;Medicamentos > Alergias E Infecções > Infecção;93656.0;https://www.saojoaofarmacias.com.br/cefadroxila-500mg-8-capsulas-generico-ems-93656/p
Aciclovir 400mg 30 Comprimidos Genérico Prati-Donaduzzi;366.0;13;São João;7899547511338.0;Aciclovir Genérico Prati-Donaduzzi 400mg 30 Comprimidos;Disponível;129,00;55,62;-56.9%;55,62;-56.9%;Medicamentos > Pele E Mucosa > Herpes;10022882.0;https://www.saojoaofarmacias.com.br/aciclovir-generico-prati-donaduzzi-400mg-30-comprimidos-10022882/p
Pomada Dbriz Uno 10g;366.0;15;São João;7896331700459.0;Pomada Proctosan 20g Hertz;Disponível;35,90;33,29;-7.3%;33,29;-7.3%;Medicamentos > Sistema Circulatório > Varizes E Hemorroidas;2382.0;https://www.saojoaofarmacias.com.br/pomada-proctosan-20g-hertz-2382/p
Norvasc Viatris Upjohn 5mg 30 Comprimidos;366.0;12;São João;7897851250622.0;Sinvascor 40mg 30 Comprimidos;Disponível;43,49;43,49;-0.0%;43,49;-0.0%;Medicamentos > Cardiológicos > Colesterol;1002650.0;https://www.saojoaofarmacias.com.br/sinvascor-40mg-30-comprimidos-1002650/p
Gazia 40mg 28 Cápsulas Revestidos Momenta;366.0;13;São João;7894916503082.0;Lanz 30mg 28 Cápsulas Sigma Pharma;Disponível;141,98;113,58;-20.0%;113,58;-20.0%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;10087344.0;https://www.saojoaofarmacias.com.br/lanz-30mg-28-capsulas-sigma-pharma-10087344/p
Feminique Conti 3+0,03mg 28 comprimidos revestidos Ache;366.0;13;São João;7896094203044.0;Elani 28 3mg+0,03mg 84 Comprimidos Revestidos Libbs;Disponível;229,49;160,64;-30.0%;160,64;-30.0%;Medicamentos > Saúde Da Mulher > Anticoncepcional;100001747.0;https://www.saojoaofarmacias.com.br/elani-28-3mg-0-03mg-84-comprimidos-revestidos-libbs-100001747/p
Duoflam Injetável 1 Ampola + Seringa Supera;366.0;13;São João;7896382700583.0;Insulina Humulin N 100UI/ml Suspensão Injetável 1 Ampola de 10ml Geladeira;Disponível;86,76;86,76;-0.0%;86,76;-0.0%;Medicamentos > Diabetes;5576.0;https://www.saojoaofarmacias.com.br/insulina-humulin-n-100ui-ml-suspensao-injetavel-1-ampola-de-10ml-geladeira-5576/p
Flogoral Colutório Aché Menta 150ml;365.0;16;São João;7896658005305.0;Flogoral Spray 30ml Menta Aché;Disponível;42,28;39,19;-7.3%;39,19;-7.3%;Medicamentos > Analgésicos > Dor De Garganta;1074.0;https://www.saojoaofarmacias.com.br/flogoral-spray-30ml-menta-ache-1074/p
Multi-Bi 495mg 10 Cápsulas Blíster Supera;365.0;14;São João;7896009498459.0;Advil 400mg 20 Cápsulas Moles;Disponível;50,80;33,00;-35.0%;33,00;-35.0%;Medicamentos > Analgésicos > Dor E Febre;100021102.0;https://www.saojoaofarmacias.com.br/advil-400mg-20-capsulas-moles-100021102/p
Respir Kids 0,9% 15 Envelopes + Frasco 120ml;365.0;13;São João;7896637030007.0;Traturil Granulado 1 Envelopes de 8g;Disponível;66,38;46,90;-29.3%;46,90;-29.3%;Medicamentos > Alergias E Infecções > Infecção;10001376.0;https://www.saojoaofarmacias.com.br/traturil-granulado-1-envelopes-de-8g-10001376/p
Dexclorfeniramina Xarope 100ml Genérico Prati-Donaduzzi;365.0;15;São João;7896004704999.0;Xarope Dexclorfeniramina Genérico EMS 120ml;Disponível;24,20;18,59;-23.2%;18,59;-23.2%;Medicamentos > Alergias E Infecções > Antialérgicos;1006907.0;https://www.saojoaofarmacias.com.br/xarope-dexclorfeniramina-generico-ems-120ml-1006907/p
Tadalafila 5mg 30 Comprimidos Genérico Cimed;365.0;13;São João;7896523227450.0;Tadalafila 5mg 30 Comprimidos Genérico Cimed;Disponível;170,77;15,87;-90.7%;15,87;-90.7%;Medicamentos > Saúde Do Homem > Disfunção Erétil;10006796.0;https://www.saojoaofarmacias.com.br/tadalafila-5mg-30-comprimidos-generico-cimed-10006796/p
Algicod 500+30mg 24 Comprimidos Momenta (A2);365.0;14;São João;7896658030284.0;Montelair 4mg 60 Comprimidos Mast Aché;Disponível;124,93;103,59;-17.1%;103,59;-17.1%;Medicamentos > Alergias E Infecções > Asma E Bronquite;100020362.0;https://www.saojoaofarmacias.com.br/montelair-4mg-60-comprimidos-mast-ache-100020362/p
Cedur Retard 400Mg 30 Comprimidos Roche;365.0;14;São João;7896658015106.0;Fisioton 400mg 30 Comprimidos Aché;Disponível;126,62;102,53;-19.0%;102,53;-19.0%;Medicamentos > Fitoterápicos;10101260.0;https://www.saojoaofarmacias.com.br/fisioton-400mg-30-comprimidos-ache-10101260/p
Pant Sec 50mg/ml Solução Capilar 3 Frascos 50ml + 1 Válvula Spray Aché;365.0;13;São João;7896658038709.0;Pant Sec 50mg/ml Solução Capilar 3 Frascos 50ml + 1 Válvula Spray Aché;Disponível;109,13;95,19;-12.8%;95,19;-12.8%;Medicamentos > Saúde Do Homem > Calvície;10029021.0;https://www.saojoaofarmacias.com.br/pant-sec-50mg-ml-solucao-capilar-3-frascos-50ml---1-valvula-spray-ache-10029021/p
Levofloxacino 750mg 7 Comprimidos Revestidos Genérico Eurofarma;365.0;14;São João;7896004713120.0;Levofloxacino 500mg 10 Comprimidos Revestidos Genérico EMS;Disponível;117,58;59,90;-49.1%;59,90;-49.1%;Medicamentos > Alergias E Infecções > Infecção;10087320.0;https://www.saojoaofarmacias.com.br/levofloxacino-500mg-10-comprimidos-revestidos-generico-ems-10087320/p
Totti SL 10mg 20 Comprimidos Aché;365.0;15;São João;7896658008849.0;Levoid 112mcg 30 Comprimidos Aché;Disponível;33,99;30,09;-11.5%;30,09;-11.5%;Medicamentos > Reposição Hormonal > Tireoide;10090189.0;https://www.saojoaofarmacias.com.br/levoid-112mcg-30-comprimidos-ache-10090189/p
Lugano Inala 12/250mcg 60 Cápsulas Gelatinosas;365.0;14;São João;7896523226675.0;Simeticona 125mg Cápsulas Gelatinosas 10 Unidades Genérico Cimed;Disponível;9,49;4,99;-47.4%;4,99;-47.4%;Medicamentos > Estômago E Gastrointestinais > Gases;100027743.0;https://www.saojoaofarmacias.com.br/simeticona-125mg-capsulas-gelatinosas-10-unidades-generico-cimed-100027743/p
Esomeprazol 40mg 28 Comprimidos Revestidos;365.0;14;São João;7896523201382.0;Esomeprazol 40mg 28 Comprimidos Revestidos Cimed;Disponível;262,84;109,90;-58.2%;109,90;-58.2%;Medicamentos > Estômago E Gastrointestinais > Gastrite E Úlcera;10035330.0;https://www.saojoaofarmacias.com.br/esomeprazol-40mg-28-comprimidos-revestidos-cimed-10035330/p
Doxaprost 2mg 30 Comprimidos;365.0;14;São João;7896241293669.0;Vasopril 10mg 30 Comprimidos;Disponível;39,75;29,79;-25.1%;29,79;-25.1%;Medicamentos > Cardiológicos > Pressão Alta;14483.0;https://www.saojoaofarmacias.com.br/vasopril-10mg-30-comprimidos-14483/p
Stomaliv 0,50g/g + 2,15g/g + 2,15g/g Abacaxi 5g;365.0;16;São João;7899095239487.0;Stomaliv 0,50g/g + 2,15g/g + 2,15g/g Abacaxi 5g;Disponível;1,50;1,50;-0.0%;1,50;-0.0%;Medicamentos > Estômago E Gastrointestinais > Azia E Refluxo;100003150.0;https://www.saojoaofarmacias.com.br/stomaliv-0-50g-g---2-15g-g---2-15g-g-abacaxi-5g-100003150/p
Stanglit 30mg 60 Comprimidos;365.0;13;São João;7896094207776.0;Stanglit 45mg 30 Comprimidos Libbs;Disponível;242,56;194,05;-20.0%;194,05;-20.0%;Medicamentos > Diabetes;100002747.0;https://www.saojoaofarmacias.com.br/stanglit-45mg-30-comprimidos-libbs-100002747/p
Tansulosina 0,4mg 20 Cápsulas Genérico Geolab;365.0;14;São João;7899095250888.0;Itraconazol Genérico Geolab 100mg 4 Cápsulas;Disponível;60,23;18,89;-68.6%;18,89;-68.6%;Medicamentos > Antifúngicos > Infecções Sistémicas;10007353.0;https://www.saojoaofarmacias.com.br/itraconazol-generico-geolab-100mg-4-capsulas-10007353/p
Rusovas 20mg 90 Comprimidos Revestidos;365.0;14;São João;7897851250530.0;Sinvascor 20mg 30 Comprimidos Revestidos;Disponível;23,10;23,10;-0.0%;23,10;-0.0%;Medicamentos > Cardiológicos > Colesterol;79260.0;https://www.saojoaofarmacias.com.br/sinvascor-20mg-30-comprimidos-revestidos-79260/p
Transamin Injetável Nikkho 50mg/ml;365.0;15;São João;7897460400357.0;Transamin Nikkho 250mg 12 Comprimidos;Disponível;85,35;73,89;-13.4%;73,89;-13.4%;Medicamentos > Sistema Circulatório > Hemorragia;1953.0;https://www.saojoaofarmacias.com.br/transamin-nikkho-250mg-12-comprimidos-1953/p
